24 01 2021 1900
48
South-West-Cape	55	517	12.3	-999	991.2	1003.5
Enderby-Island	42	633	10.9	5.5	993.9	998.6
Campbell-Island	107	709	9.6	3.3	991.9	993.7
25 01 2021 2200
47
Cape-Reinga	186	38	18.5	18.2	991	1016
Kaitaia	203	59	20.5	18.2	1006.7	1015.7
Kerikeri	216	63	20.1	17	997.6	1015.1
Whangarei	239	89	21.5	17.8	1010.2	1015
Mokohinau-Islands	251	89	20	16.1	1005.9	1014.1
Auckland	249	133	19.8	16.6	1013.2	1014.1
Whitianga	275	128	20.4	11.7	1011.6	1012.1
Hamilton	261	163	15.9	13.2	1007.2	1013.5
Tauranga	288	161	21	13.3	1010.4	1010.8
Hicks-Bay	346	156	17.6	15.1	1004.7	1010
Port-Taharoa	246	174	18.9	14.9	1011	1013.9
Taupo	282	189	18.9	12.2	964.5	1011.5
Gisborne	339	198	17.2	15.5	1008.9	1009.4
New-Plymouth	228	208	18	16.3	1010	1013.5
Hawera	231	227	18.3	15.7	1001.1	1012.7
Whanganui	248	239	20	13.2	1011.2	1012.2
Waiouru	265	214	14	11.2	919.8	-999
Napier	307	226	17.3	14.1	1008.7	1009
Mahia	336	216	17.8	15.1	993.6	1009.4
Palmerston-North	270	256	16.5	12.2	1006	1011.5
Levin	261	264	17.4	13.4	1010.3	1011.9
Paraparaumu	254	279	17.9	13.7	1010.2	1010.9
Wellington	246	291	17.5	13.2	1007.5	1009
Ngawi	259	302	21.7	10.5	1005.4	1006.1
Castlepoint	285	276	17.3	10.1	993.4	1007.3
Westport	158	308	14.8	12.5	1012.1	1012.6
Farewell-Spit	191	262	17.1	12.3	1008.4	1008.8
Nelson	202	290	22.6	10.7	1007.6	1008.2
Stephens-Island	225	265	14.8	13.6	986.7	1008.7
Cape-Campbell	231	309	17	13.9	1005.2	1005.8
Hokitika	149	330	15.8	14	1007.4	1012.9
Kaikoura	213	330	18	14.3	994	1006.6
Haast	90	386	15.1	13.7	1012.4	1012.5
Milford-Sound	57	417	13.3	12.7	1011.7	1012.1
Mount-Cook	118	379	17.8	8	933.8	-999
Tara-Hills	124	455	17.1	9.2	951.7	1007.5
Timaru	150	399	14.9	12	1006.9	1010.2
Christchurch	186	374	15.6	12.3	1004	1008.5
Le-Bons-Bay	198	381	13.6	12.1	981	1009
Secretary-Island	36	443	14.5	12.3	1007.1	1009.2
Puysegur-Point	32	478	16.4	12.1	998.3	1003.5
Queenstown	84	430	16.8	10.3	965.8	1007.3
